,Unnamed: 0,plant_name,links,required_space,when_to_plant,min_growing_time,max_growing_time,when_to_harvest,climate
11,11,Apple (Large),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-apples/,0,"2, 3, 4, 5",150,270,"7, 8, 9, 10, 11",Cfa
12,12,Apricot (Dwarf),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-dwarf-apricot-trees/,0,"2, 3",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
13,13,Apricot (Large),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-apricots/,0,"2, 3",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
14,14,Artichoke (Globe),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-globe-artichokes/,8100,"1, 2, 3, 4, 5, 6, 7",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
15,15,Arugula,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-arugula/,200,"2, 3, 9, 10",60,300,"4, 10, 11, 12",Cfa
16,16,Asparagus,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-asparagus/,2025,"1, 2, 3",60,120,"3, 4, 5",Cfa
17,17,Aster (China),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-aster-china/,900,"1, 2, 3, 4, 5, 6",150,300,"6, 7, 8, 9, 10, 11",Cfa
18,18,Basil,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-basil/,375,"3, 4, 5, 6",60,240,"5, 6, 7, 8, 9, 10, 11",Cfa
19,19,Bay,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-bay-leaves/,2700,"4, 5, 6",30,210,"5, 6, 7, 8, 9, 10, 11",Cfa
20,20,Beans (Bush Snap),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-bush-snap-beans/,525,"3, 4, 5, 8, 9",60,240,"5, 6, 10, 11",Cfa
21,21,Beans (Dry),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-dry-beans/,700,"4, 5, 6",60,210,"6, 7, 8, 9, 10, 11",Cfa
22,22,Beans (Fava),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-fava-beans/,375,"2, 3",90,90,5,Cfa
23,23,Beans (Lima),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lima-beans/,525,"4, 5, 6, 7",90,210,"7, 8, 9, 10, 11",Cfa
24,24,Beans (Pole),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-pole-beans/,525,"3, 4, 5, 6",60,240,"5, 6, 7, 8, 9, 10, 11",Cfa
25,25,Beet,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-beets/,200,"2, 3, 8, 9",90,300,"5, 11, 12",Cfa
26,26,Begonia,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-begonia/,875,"1, 2, 3, 4, 5, 6",120,300,"5, 6, 7, 8, 9, 10, 11",Cfa
27,27,Bells of Ireland,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-bells-of-ireland/,900,"1, 2, 3, 4, 5",90,240,"4, 5, 6, 7, 8, 9",Cfa
28,28,Black Currant,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-black-currant/,8100,"2, 3",90,120,"5, 6",Cfa
29,29,Blackberry,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-blackberries/,8100,"2, 3, 4, 5",120,210,"6, 7, 8, 9",Cfa
30,30,Bluebell,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-bluebell/,100,"2, 3, 10, 11",30,60,"3, 4",Cfa
31,31,Blueberry,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-blueberries/,8100,"2, 3, 4, 5",120,180,"6, 7, 8",Cfa
32,32,Bok Choy,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-bok-choy/,500,"1, 2, 3, 9, 10",60,330,"3, 4, 5, 10, 11, 12",Cfa
33,33,Borage,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-borage/,1800,"3, 4, 8, 9",60,240,"5, 6, 7, 10, 11",Cfa
34,34,Broccoli,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-broccoli/,2025,"1, 2, 3, 8, 9",120,330,"5, 11, 12",Cfa
35,35,Broccoli (Purple Sprouting),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-purple-sprouting-broccoli/,3600,"8, 9",120,120,4,Cfa
36,36,Brussels Sprouts,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-brussels-sprouts/,3600,"8, 9",210,120,"1, 12",Cfa
37,37,Buckwheat,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-buckwheat/,100,"3, 4, 5, 6, 8, 9",30,210,"4, 5, 6, 7, 9, 10",Cfa
38,38,Cabbage (Fall Red),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-fall-red-cabbages/,7200,"7, 8",120,150,"11, 12",Cfa
39,39,Cabbage (Fall),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-fall-cabbages/,7200,"8, 9",210,120,"1, 12",Cfa
40,40,Cabbage (Spring Red),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-spring-red-cabbages/,5400,8,180,150,"2, 3",Cfa
41,41,Cabbage (Spring),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-spring-cabbages/,5400,"8, 9",150,120,"3, 4",Cfa
42,42,Cabbage (Summer Red),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-summer-red-cabbages/,2475,"1, 2, 3",120,120,5,Cfa
43,43,Cabbage (Summer),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-summer-cabbages/,2475,"1, 2, 3",120,120,5,Cfa
44,44,Calendula,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-calendula/,1500,"2, 3, 8, 9",60,270,"4, 5, 10, 11",Cfa
45,45,Cantaloupe,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cantaloupe/,8100,"3, 4, 5, 6",90,240,"6, 7, 8, 9, 10, 11",Cfa
46,46,Carrot,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-carrots/,150,"2, 3, 4, 9, 10",30,300,"1, 5, 11, 12",Cfa
47,47,Catnip,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-catnip/,1200,"1, 2, 3, 4, 5, 6",60,330,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Cfa
48,48,Cauliflower,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cauliflower/,2700,"1, 2, 3, 8, 9",120,330,"5, 12",Cfa
49,49,Celeriac,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-celeriac/,1200,"1, 2, 3",180,240,"7, 8, 9",Cfa
50,50,Celery,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-celery/,450,"1, 2, 3",150,180,"6, 7",Cfa
51,51,Celosia,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-celosia/,600,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
52,52,Chamomile,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-chamomile/,1000,"1, 2, 3, 8, 9",90,300,"4, 5, 6, 10, 11",Cfa
53,53,Cherry (Dwarf),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-dwarf-cherry-trees/,0,"2, 3",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
54,54,Cherry (Fan),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-fan-cherry-trees/,0,"2, 3",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
55,55,Cherry (Semi-Dwarf),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-semi-dwarf-cherry-trees/,0,"2, 3",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
56,56,Chestnut (Chinese),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-chinese-chestnuts/,100,"2, 3",30,300,"1, 7, 8, 9, 10, 11, 12",Cfa
57,57,Chicory,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-chicory/,600,"2, 3, 9, 10",30,300,"1, 5, 11, 12",Cfa
58,58,Chili Pepper,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-chili-peppers/,1200,"1, 2, 3, 4, 5, 6",120,300,"5, 6, 7, 8, 9, 10, 11",Cfa
59,59,Chinese Cabbage,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-chinese-cabbage/,1800,"2, 3, 9, 10",90,300,"5, 10, 11, 12",Cfa
60,60,Chives,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-chives/,375,"1, 2, 3, 4, 5, 6, 12",60,330,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Cfa
61,61,Chives (Garlic),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-garlic-chives/,300,"1, 2, 3, 4, 5, 6, 12",30,330,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Cfa
62,62,Cilantro,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cilantro/,375,"2, 3, 9, 10",30,300,"1, 4, 5, 10, 11, 12",Cfa
63,63,Cleome,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cleome/,600,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
64,64,Colchicum,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-colchicum/,225,"9, 10",30,30,10,Cfa
65,65,Coleus,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-coleus/,900,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
66,66,Collards,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-collards/,1200,"2, 8, 9",30,300,"1, 2, 5, 11, 12",Cfa
67,67,Comfrey,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-comfrey/,3600,"1, 2, 3, 4, 5, 6",90,330,"4, 5, 6, 7, 8, 9, 10, 11, 12",Cfa
68,68,Convolvulus,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-convolvulus/,900,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
69,69,Coreopsis,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-coreopsis/,900,"1, 2, 3, 4, 5, 6",90,270,"4, 5, 6, 7, 8, 9, 10",Cfa
70,70,Corn,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-corn/,1350,"3, 4",60,90,"5, 6",Cfa
71,71,Cornflower,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cornflowers/,400,"1, 2, 3, 11, 12",120,120,5,Cfa
72,72,Cosmos,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cosmos/,400,"1, 2, 3, 4, 5, 6, 12",90,270,"4, 5, 6, 7, 8, 9, 10",Cfa
73,73,Cotton,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cotton/,0,"2, 3, 4, 5, 6",120,270,"6, 7, 8, 9, 10, 11",Cfa
74,74,Cranberry,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cranberries/,3600,"2, 3",120,300,"6, 7, 8, 9, 10, 11, 12",Cfa
75,75,Cress,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cress/,100,"2, 3",60,300,"4, 11, 12",Cfa
76,76,Crimson Clover,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-crimson-clover/,100,"1, 2, 9",0,120,"1, 2, 3, 4, 5",Cfa
77,77,Crocus,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-crocus/,100,"10, 11, 12",270,240,"1, 2",Cfa
78,78,Crowder Peas,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-crowder-peas/,525,"4, 5, 6",30,210,"5, 6, 7, 8, 9, 10, 11",Cfa
79,79,Cucumber,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cucumber/,3600,"2, 3, 4, 8, 9",120,270,"6, 10, 11",Cfa
80,80,Cuphea,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cuphea/,600,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
81,81,Daffodil,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-daffodil/,150,"10, 11, 12",240,210,"2, 3",Cfa
82,82,Dahlia,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-dahlia/,3000,"3, 4",60,240,"5, 6, 7, 8, 9, 10, 11",Cfa
83,83,Daylily,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-daylily/,3000,"2, 3, 4",90,240,"5, 6, 8, 9, 10",Cfa
84,84,Dianthus,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-dianthus/,900,"1, 2, 3, 4, 5, 6, 7, 8, 9",90,330,"4, 5, 6, 7, 8, 9, 10, 11, 12",Cfa
85,85,Dill,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-dill/,375,"2, 3, 8, 9",60,270,"4, 5, 10, 11",Cfa
86,86,Dusty Miller,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-dusty-miller/,600,"1, 2, 3, 4, 5, 6, 7, 8, 9",90,330,"4, 5, 6, 7, 8, 9, 10, 11, 12",Cfa
87,87,Echinacea,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-echinacea/,1200,"1, 2, 3, 4, 5, 6, 12",60,300,"3, 4, 5, 6, 7, 8, 9, 10, 11",Cfa
88,88,Edamame,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-edamame/,800,"4, 5, 6",60,210,"6, 7, 8, 9, 10, 11",Cfa
89,89,Eggplant,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-eggplant/,1575,"1, 2, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
90,90,Endive,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-endive/,600,"2, 3, 9, 10",30,300,"1, 5, 11, 12",Cfa
91,91,Fennel,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-fennel/,875,"2, 3, 8, 9, 10",90,300,"5, 6, 11, 12",Cfa
92,92,Fennel (Herb),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-herb-fennel/,1200,"1, 2, 3, 4, 5, 6",60,300,"3, 4, 5, 6, 7, 8, 9, 10, 11",Cfa
93,93,Fenugreek,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-fenugreek/,225,"4, 5, 6",30,210,"5, 6, 7, 8, 9, 10, 11",Cfa
94,94,Feverfew,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-feverfew/,900,"2, 3, 4",60,90,"4, 5",Cfa
95,95,Fig,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-figs/,0,"2, 3",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
96,96,Fig (Container Grown),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-container-grown-figs/,3600,"2, 3",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
97,97,Filbert,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-filberts/,0,"2, 3",120,270,"6, 7, 8, 9, 10, 11",Cfa
98,98,Fruit (Bush),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-fruit-bushes/,8100,"2, 3, 4, 5",120,180,"6, 7, 8",Cfa
99,99,Fruit (Dwarf Tree),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-dwarf-fruit-trees/,0,"2, 3, 4, 5",120,240,"6, 7, 8, 9, 10",Cfa
100,100,Fruit (Trellised),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-trellised-fruit/,8100,"2, 3, 4, 5",180,210,"8, 9",Cfa
101,101,Gaillardia,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-gaillardia/,900,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
102,102,Garlic,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-garlic/,250,"8, 9, 10, 11, 12",90,90,"5, 6, 7, 8, 9, 10, 11",Cfa
103,103,Gazania,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-gazania/,900,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
104,104,Geranium,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-geranium/,875,"2, 3, 4, 5, 6, 7, 8",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
105,105,Ginger,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-ginger/,2025,"2, 3, 4, 5, 6",150,300,"7, 8, 9, 10, 11, 12",Cfa
106,106,Gladiolus,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-gladiolus/,500,"2, 3, 4",90,120,"5, 6",Cfa
107,107,Gomphrena,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-gomphrena/,600,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
108,108,Gooseberry,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-gooseberry/,8100,"2, 3",90,120,"5, 6",Cfa
109,109,Gourd,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-gourds/,8100,"3, 4, 5, 6",90,240,"6, 7, 8, 9, 10, 11",Cfa
110,110,Grape Vine,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-grapes/,0,"2, 3, 4, 5",180,240,"8, 9, 10",Cfa
111,111,Gypsophila,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-gypsophila/,400,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
112,112,Hairy Vetch,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-hairy-vetch/,100,"8, 9",180,120,"2, 3, 4",Cfa
113,113,Hazel,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-hazel-nuts/,0,"2, 3",120,270,"6, 7, 8, 9, 10, 11",Cfa
114,114,Heliotrope,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-heliotrope/,400,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
115,115,Herb,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-herbs/,375,"1, 2, 3, 4, 5, 6",120,300,"5, 6, 7, 8, 9, 10, 11",Cfa
116,116,Honeyberry,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-honeyberry/,0,"2, 3",90,120,"5, 6",Cfa
117,117,Hops,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-hops/,0,"2, 3",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
118,118,Horseradish,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-horseradish/,1225,"3, 4, 5, 6",60,270,"1, 6, 7, 8, 9, 10, 11, 12",Cfa
119,119,Hyacinth,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-hyacinth/,100,"10, 11, 12",240,210,"2, 3",Cfa
120,120,Impatiens,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-impatiens/,600,"2, 3, 4, 5, 6, 7",90,240,"5, 6, 7, 8, 9, 10",Cfa
121,121,Iris,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-iris/,700,"2, 3, 10",30,60,"3, 4",Cfa
122,122,Jerusalem Artichoke,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-jerusalem-artichoke/,3600,"2, 3, 4, 5",30,300,"1, 2, 3, 4, 8, 9, 10, 11, 12",Cfa
123,123,Johnny Jump Up,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-johnny-jump-up/,225,"1, 2, 3, 4, 5, 6, 7, 8, 9",90,330,"4, 5, 6, 7, 8, 9, 10, 11, 12",Cfa
124,124,Jostaberry,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-jostaberries/,0,"2, 3",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
125,125,Kale,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-kale/,1575,"1, 2, 3, 8, 9",120,330,"5, 11, 12",Cfa
126,126,Kiwi,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-kiwis/,0,"2, 3",120,270,"6, 7, 8, 9, 10, 11",Cfa
127,127,Kohlrabi,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-kohlrabi/,600,"1, 2, 3, 8, 9",120,330,"5, 11, 12",Cfa
128,128,Lantana,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lantana/,875,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
129,129,Larkspur,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-larkspur/,900,"1, 2, 3, 4, 5, 6",90,240,"4, 5, 6, 7, 8, 9",Cfa
130,130,Lavatera,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lavatera/,900,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
131,131,Lavender,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lavender/,1750,"1, 2, 3, 4, 5, 6",30,330,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Cfa
132,132,Leek,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-leeks/,450,"1, 2, 3, 4, 8, 9",120,330,"5, 6, 11, 12",Cfa
133,133,Lemon,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lemons/,0,"2, 3",30,300,"1, 2, 3, 7, 8, 9, 10, 11, 12",Cfa
134,134,Lemon (Container Grown),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-container-grown-lemons/,3600,"2, 3",30,300,"1, 2, 3, 7, 8, 9, 10, 11, 12",Cfa
135,135,Lemon Balm,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lemon-balm/,3600,"1, 2, 3, 4, 5, 6, 12",60,300,"3, 4, 5, 6, 7, 8, 9, 10, 11",Cfa
136,136,Lemon Verbena,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lemon-verbena/,1350,"2, 3, 4, 5, 6",60,270,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
137,137,Lemongrass,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lemongrass/,5400,"3, 4, 5, 6",60,270,"5, 6, 7, 8, 9, 10, 11, 12",Cfa
138,138,Lettuce (Crisphead),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lettuce/,600,"1, 2, 3, 9, 10",90,330,"4, 10, 11, 12",Cfa
139,139,Lettuce (Leaf),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-leaf-lettuce/,150,"1, 2, 3, 9, 10",60,330,"3, 4, 5, 10, 11, 12",Cfa
140,140,Lettuce (Miners),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-miners-lettuce/,100,"2, 3, 9, 10",30,300,"1, 2, 5, 11, 12",Cfa
141,141,Lily,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lily/,700,"2, 3, 10, 11",90,120,"5, 6",Cfa
142,142,Lime,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-limes/,0,"2, 3",30,300,"1, 2, 3, 7, 8, 9, 10, 11, 12",Cfa
143,143,Lime (Container Grown),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-container-grown-limes/,3600,"2, 3",30,300,"1, 2, 3, 7, 8, 9, 10, 11, 12",Cfa
144,144,Lobelia,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lobelia/,225,"1, 2, 3, 4, 5, 6",90,330,"4, 5, 6, 7, 8, 9, 10, 11, 12",Cfa
145,145,Loganberry,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-loganberries/,0,"2, 3",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
146,146,Lovage,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-lovage/,3600,"1, 2, 3, 4, 5, 6",60,330,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Cfa
147,147,Mache,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-mache/,225,"1, 2, 3, 9, 10",0,330,"1, 3, 4, 5, 11, 12",Cfa
148,148,Marigold,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-marigolds/,400,"1, 2, 3, 4, 8, 9",120,300,"5, 6, 7, 10, 11",Cfa
149,149,Marjoram,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-marjoram/,375,"2, 3, 4, 5, 6",60,300,"4, 5, 6, 7, 8, 9, 10, 11, 12",Cfa
150,150,Medlar,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-medlars/,0,"2, 3",30,300,"1, 7, 8, 9, 10, 11, 12",Cfa
151,151,Melon,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-melons/,8100,"3, 4, 5, 6",90,240,"6, 7, 8, 9, 10, 11",Cfa
152,152,Mint,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-mint/,375,"3, 4, 5, 6",60,270,"5, 6, 7, 8, 9, 10, 11, 12",Cfa
